,,,,,,,,,,,,,,,,,,,
Category,,Tên Sản phẩm ,Tên tiếng Anh ,Xuất hiện ở Trang chủ ,Flag ,Tag line ,Giá gốc ,Giá khuyến mãi ,% khuyến mãi ,Tiết kiệm ,Dung tích,Quà tặng,Mô tả sản phẩm ,Thành phần ,Giấy kiểm nghiệm ,Hướng dẫn sử dụng ,Chính sách giao hàng ,Review sản phẩm,Link ảnh sản phẩm 
Sản phẩm dưỡng sinh ,Chăm sóc da cơ thể,Xà bông Gừng Tràm Quế ,,,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,89000,,,,105gr,,"🌿 Xà bông Gừng Tràm Quế – Làm sạch ấm nóng, thanh lọc và phục hồi làn da tự nhiên

Xà bông Gừng Tràm Quế là sự hòa quyện giữa các thảo dược phương Đông và dầu thực vật dưỡng da, mang đến cảm giác làm sạch sâu nhưng vẫn dịu nhẹ. Với hương thơm ấm từ gừng – quế – tràm, sản phẩm không chỉ chăm sóc làn da mà còn giúp thư giãn và “đánh thức” cơ thể sau một ngày dài.

✨ Thành phần 
Dầu dừa ép lạnh: Làm sạch nhẹ nhàng, hỗ trợ giữ ẩm tự nhiên cho da
Dầu Sachi Inchi: Giàu Omega 3-6-9 giúp nuôi dưỡng và phục hồi hàng rào bảo vệ da
Nước cốt gừng tươi: Làm ấm da, hỗ trợ lưu thông và thanh lọc da tự nhiên
Mật ong: Dưỡng ẩm, giúp da mềm mại và hỗ trợ kháng khuẩn
Bột nghệ: Hỗ trợ làm sáng da, giảm thâm và cải thiện sắc tố da không đều màu
Bột quế: Giúp làm sạch, hỗ trợ giảm dầu thừa và mang lại cảm giác ấm nóng dễ chịu
Tinh dầu tràm: Hỗ trợ kháng khuẩn, làm sạch da và tạo hương thơm thư giãn tự nhiên

💛 Công dụng nổi bật
- Làm sạch da mà không gây khô căng
- Hỗ trợ giảm dầu thừa, thanh lọc và làm thông thoáng lỗ chân lông
- Giúp da mềm mại, mịn màng hơn sau khi sử dụng
- Hỗ trợ giảm mùi cơ thể và tạo cảm giác sạch thoáng
- Mang lại cảm giác thư giãn, ấm cơ thể với hương thảo mộc tự nhiên

🌱 Phù hợp với
- Da dầu, da hỗn hợp, da dễ nổi mụn, da dễ kích ứng với các sản phẩm công nghiệp 
- Da bị mụn lưng/mông, sần sùi, khô ráp 
- Da trẻ em
- Phụ nữ mang thai 
✨ Điểm khác biệt

Không chỉ là xà bông làm sạch thông thường, Gừng Tràm Quế kết hợp giữa thảo dược làm ấm – dầu dưỡng thực vật – tinh dầu thiên nhiên, mang lại trải nghiệm chăm sóc cơ thể vừa sạch sâu vừa thư giãn như một liệu pháp spa tại nhà.

💧 Mỗi lần sử dụng là một lần cơ thể được làm sạch, sưởi ấm và tái tạo năng lượng từ những nguyên liệu thiên nhiên nguyên bản.","Dầu dừa ép lạnh, Dầu Sachi Inchi, Nước cốt gừng tươi, Mật ong, Bột nghệ, Bột quế, Tinh dầu tràm",,"✨ Hướng dẫn sử dụng
- Làm ướt da và bánh xà bông
- Cho xà bông vào túi lưới tạo bọt, xoa nhẹ để tạo lớp bọt mịn
- Dùng phần bọt massage nhẹ nhàng lên mặt hoặc cơ thể theo chuyển động tròn
- Thư giãn trên da khoảng 30 giây – 1 phút
- Rửa sạch lại với nước

🌿 Sử dụng cho da mặt

- Nên dùng lớp bọt mịn thay vì chà trực tiếp bánh xà bông lên mặt
- Massage nhẹ nhàng để làm sạch dầu thừa và bụi bẩn
- Phù hợp sử dụng 1–2 lần/ngày

🛁 Sử dụng cho cơ thể
- Có thể dùng trực tiếp với túi lưới tạo bọt để làm sạch toàn thân
- Đặc biệt phù hợp cho vùng da dễ đổ dầu, bí tắc hoặc cần thư giãn cơ thể

✨ Tips để sử dụng hiệu quả hơn
- Treo khô xà bông sau khi dùng để kéo dài thời gian sử dụng
- Kết hợp cùng massage nhẹ để tăng lưu thông và thư giãn da
- Sau khi rửa, nên dùng thêm xịt khoáng hoặc dưỡng ẩm để da mềm mịn hơn


💛 Lớp bọt mềm từ túi lưới không chỉ giúp tiết kiệm xà bông, mà còn mang lại cảm giác làm sạch nhẹ nhàng như một bước spa chăm sóc da mỗi ngày.",,,https://drive.google.com/drive/folders/11tnOHo6RrnKGuELlSgN7JfXLRgikmj3U?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Mặt nạ hoa hồng ,,,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,168000,,,,50gr,,"Mặt nạ Tía Tô là sự kết hợp giữa thảo dược truyền thống và các loại dầu thực vật giàu dưỡng chất, giúp làn da được thanh lọc nhẹ nhàng nhưng vẫn duy trì độ ẩm và sự mềm mại tự nhiên. Đây là lựa chọn phù hợp cho những làn da đang mệt mỏi, dễ bí tắc hoặc cần được “thở” sau nhiều lớp mỹ phẩm.

✨ Thành phần nổi bật
Bột tía tô: Giúp thanh lọc da, hỗ trợ giảm dầu thừa và làm dịu da mụn
Mật ong: Dưỡng ẩm, hỗ trợ kháng khuẩn và giúp da mềm mại hơn
Dầu Sachi Inchi: Giàu Omega 3-6-9, hỗ trợ phục hồi và củng cố hàng rào bảo vệ da
Dầu bơ: Nuôi dưỡng sâu, giúp da mềm mịn và hạn chế khô căng sau khi đắp mặt nạ

💚 Công dụng nổi bật
- Hỗ trợ làm sạch và thanh lọc da nhẹ nhàng
- Giúp giảm cảm giác bí tắc, dầu thừa trên da
- Làm dịu da mụn, da dễ kích ứng
- Cấp ẩm và giữ da mềm mại sau khi sử dụng
- Hỗ trợ cải thiện làn da xỉn màu, thiếu sức sống

🌱 Phù hợp với
- Da dầu, da hỗn hợp thiên dầu
- Da dễ nổi mụn, bí tắc lỗ chân lông
- Da mệt mỏi, xỉn màu cần được làm dịu và phục hồi

✨ Điểm khác biệt

Không giống các loại mask làm sạch khiến da khô ráp sau khi dùng, Mặt nạ Tía Tô tập trung vào cơ chế “thanh lọc nhưng vẫn nuôi dưỡng” — giúp da được làm sạch nhẹ nhàng mà vẫn giữ được độ ẩm và sự cân bằng tự nhiên.

💧 Từng lớp mặt nạ như một khoảng nghỉ cho làn da — nơi da được thở, được làm dịu và dần trở về trạng thái khỏe khoắn nguyên bản","Bột tía tô, Mật ong, Dầu Sachi Inchi, Dầu bơ",,,,,https://drive.google.com/drive/folders/1qDbuV6wrN39_L9AIMXSIBhqsaCtfnnXS?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Mặt nạ tía tô ,,,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,158000,,,,50gr,,"Mặt nạ Hoa Hồng là sự kết hợp giữa cánh hoa hồng thiên nhiên và các loại dầu thực vật giàu dưỡng chất, giúp làn da được cấp ẩm, thư giãn và phục hồi nhẹ nhàng. Với hương hoa dịu nhẹ cùng kết cấu giàu dưỡng, sản phẩm mang đến cảm giác chăm sóc da như một nghi thức spa thư giãn tại nhà.

✨ Thành phần nổi bật
Bột cánh hoa hồng: Giúp làm dịu, hỗ trợ cân bằng da và mang lại vẻ tươi tắn tự nhiên
Mật ong: Dưỡng ẩm, làm mềm da và hỗ trợ bảo vệ da khỏi khô ráp
Dầu Sachi Inchi: Giàu Omega 3-6-9 giúp phục hồi và nuôi dưỡng hàng rào bảo vệ da
Dầu bơ: Cấp ẩm sâu, giúp da mềm mại và căng mịn hơn sau khi sử dụng
💗 Công dụng nổi bật
- Cấp ẩm và giúp da mềm mại, mịn màng hơn
- Làm dịu da khô, da mệt mỏi hoặc thiếu sức sống
- Hỗ trợ cải thiện độ đàn hồi và độ căng bóng tự nhiên của da
- Giúp da tươi sáng và đều màu hơn
- Mang lại cảm giác thư giãn với hương hoa hồng tự nhiên nhẹ nhàng

🌱 Phù hợp với
- Da khô, da thiếu nước
- Da nhạy cảm cần làm dịu nhẹ nhàng
- Da xỉn màu, thiếu sức sống
✨ Điểm khác biệt

Không đơn thuần là mặt nạ dưỡng ẩm, Mặt nạ Hoa Hồng tập trung vào trải nghiệm “nuôi dưỡng và làm dịu” — giúp làn da không chỉ mềm hơn sau khi dùng, mà còn cảm nhận được sự thư thái và cân bằng tự nhiên.

💧 Từng cánh hoa hồng như mang theo độ ẩm và sự dịu dàng của thiên nhiên, giúp làn da được nghỉ ngơi, phục hồi và tỏa sáng theo cách nhẹ nhàng nhất.","Bột cánh hoa hồng, Mật ong, Dầu Sachi Inchi, Dầu bơ",,,,,https://drive.google.com/drive/folders/1HmIDxdPmkk1iVkqnNQyJ-ST9OfVNEPAD?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Mặt nạ nghệ phục hồi ,,có,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,198000,,,,120gr,,"Mặt Nạ Nghệ Phục Hồi là sự kết hợp giữa mật ong nguyên chất, tinh bột nghệ đỏ và dầu hạt chanh — mang đến giải pháp chăm sóc da dịu nhẹ theo hướng phục hồi và nuôi dưỡng tự nhiên. Với kết cấu mềm mịn cùng hương thảo mộc nhẹ nhàng, sản phẩm giúp làn da được thư giãn, làm sạch và tái tạo sau những ngày mệt mỏi hoặc tiếp xúc nhiều với mỹ phẩm và môi trường.

✨ Thành phần nổi bật
- Mật ong: Giúp dưỡng ẩm, làm mềm và hỗ trợ bảo vệ da
- Tinh bột nghệ đỏ: Giàu hoạt chất chống oxy hóa tự nhiên, hỗ trợ làm sáng và cải thiện thâm da
- Dầu hạt chanh: Giúp làm sạch nhẹ nhàng, mang lại cảm giác tươi mát và hỗ trợ cân bằng da
💛 Công dụng nổi bật
- Hỗ trợ làm sạch da và loại bỏ tế bào chết nhẹ nhàng
- Giúp da sáng mịn và đều màu hơn
- Hỗ trợ giảm thâm và phục hồi làn da mệt mỏi
- Giúp da mềm mại, ẩm mịn sau khi sử dụng
- Mang lại cảm giác thư giãn và dễ chịu cho làn da
🌱 Phù hợp với
- Mọi loại da, đặc biệt là da xỉn màu hoặc thiếu sức sống
- Da cần phục hồi và nuôi dưỡng nhẹ nhàng

Không chỉ là mặt nạ dưỡng da thông thường, Mặt Nạ Nghệ Phục Hồi tập trung vào cơ chế “làm sạch dịu nhẹ kết hợp nuôi dưỡng” — giúp da không bị khô căng sau khi đắp mà vẫn giữ được cảm giác mềm mại và thoải mái tự nhiên.","Mật ong, tinh bột nghệ đỏ, dầu hạt chanh.",,,,,https://drive.google.com/drive/folders/1PoXGDiUyDdvDbn7QMvZ6zUuQnQsPbcFt?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Dầu dưỡng hoa hồng ,,,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,158000,,,,20ml,,"Dầu dưỡng Hoa Hồng là sự kết hợp tối giản nhưng giàu dưỡng chất giữa cánh hoa hồng tự nhiên và dầu Sachi Inchi nguyên chất. Từng giọt dầu mang theo độ ẩm, sự dịu dàng của hoa hồng cùng khả năng phục hồi chuyên sâu từ các acid béo thực vật, giúp làn da được nuôi dưỡng khỏe mạnh theo cách tự nhiên nhất.

✨ Thành phần nổi bật
- Cánh hoa hồng: Giúp làm dịu, hỗ trợ cân bằng và mang lại vẻ tươi tắn cho làn da
- Dầu Sachi Inchi: Giàu Omega 3-6-9 và chất chống oxy hóa, giúp phục hồi hàng rào bảo vệ da, duy trì độ ẩm và cải thiện độ đàn hồi tự nhiên
💗 Công dụng nổi bật
- Cấp ẩm và khóa ẩm cho da mềm mại, căng mịn
- Hỗ trợ phục hồi da khô, da mỏng yếu hoặc thiếu sức sống
- Giúp da trông tươi sáng và khỏe khoắn hơn
- Làm dịu cảm giác khô ráp, căng rít sau khi rửa mặt
- Mang lại cảm giác thư giãn với hương hoa hồng tự nhiên nhẹ nhàng
🌱 Phù hợp với
- Da khô, da thiếu nước
- Da nhạy cảm, da cần phục hồi
- Da bắt đầu xuất hiện dấu hiệu lão hóa

Không chứa silicone hay hương liệu tổng hợp, Dầu dưỡng Hoa Hồng nuôi dưỡng da theo cơ chế “bổ sung lipid tự nhiên”, giúp da dần khỏe lên, mềm hơn và ít phụ thuộc vào các lớp dưỡng dày nặng.",,,"🌹 Sử dụng cho da mặt
- Cách dùng cơ bản
- Làm sạch da và sử dụng toner/xịt khoáng
- Lấy 2–3 giọt dầu dưỡng ra lòng bàn tay
- Xoa nhẹ để làm ấm dầu
- Áp nhẹ và massage lên da mặt theo hướng từ trong ra ngoài, từ dưới lên trên

👉 Nên dùng ở bước cuối cùng để khóa ẩm và giữ dưỡng chất trên da

🌿 Sử dụng trong các trường hợp
- Khi da khô, bong tróc hoặc thiếu độ ẩm
- Khi da mệt mỏi, thiếu sức sống
- Sau treatment hoặc khi da cần phục hồi nhẹ nhàng
- Khi ngồi điều hòa nhiều hoặc thời tiết hanh khô

⚠️ Lưu ý
- Chỉ cần dùng lượng vừa đủ để tránh bí da
- Với da dầu, nên sử dụng lượng ít vào buổi tối
- Bảo quản nơi khô ráo, tránh ánh nắng trực tiếp

✨ Có thể kết hợp thêm
Dùng cùng Gua Sha để massage nâng cơ và thư giãn da mặt
Trộn 1 giọt vào kem dưỡng để tăng độ ẩm
Dùng cho vùng cổ, khóe mắt hoặc vùng da khô ráp cần nuôi dưỡng thêm",,,https://drive.google.com/drive/folders/1OrgLi3crK2RcIKGwrYQzM2SiREROZXLu?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da cơ thể,Dầu massage Hoa hồng ,,có,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,236000,,,,50ml,,,,,,,,https://drive.google.com/drive/folders/1WXPdSI3QXq6Bnu3JTNKjG7E7LK9zkuQp?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc tóc,Cao gội Hoa hồng 2 in 1 (Gội&Xả),,,,,289000,,,,300ml,,"🌹 Cao Gội Hoa Hồng – Làm sạch dịu nhẹ, nuôi dưỡng tóc và da đầu từ thảo dược thiên nhiên

Cao Gội Hoa Hồng là sự hòa quyện giữa cánh hoa hồng cùng nhiều loại thảo dược truyền thống, mang đến trải nghiệm làm sạch tóc theo phương pháp tự nhiên và lành tính. Không chỉ giúp làm sạch tóc và da đầu, sản phẩm còn hỗ trợ nuôi dưỡng mái tóc mềm mại, giảm khô xơ và mang lại cảm giác thư giãn với hương thơm thảo mộc nhẹ nhàng.

✨ Thành phần nổi bật
- Cánh hoa hồng: Giúp làm dịu da đầu và mang lại hương thơm tự nhiên thư giãn
- Bồ kết & bồ hòn: Làm sạch tóc và da đầu nhẹ nhàng theo phương pháp truyền thống
- Vỏ bưởi, hương nhu, hà thủ ô: Hỗ trợ nuôi dưỡng tóc chắc khỏe và giảm gãy rụng
- Sả chanh, gừng, bạc hà: Giúp làm sạch, tạo cảm giác thông thoáng và thư giãn da đầu
- Cỏ mần trầu & chè xanh: Hỗ trợ cân bằng dầu và làm dịu da đầu
- Nha đam & cốt dừa: Giúp cấp ẩm, giảm khô xơ cho tóc
- Quả chanh & me rừng: Hỗ trợ làm sạch tóc và giúp tóc mềm mượt tự nhiên
💗 Công dụng nổi bật
- Làm sạch tóc và da đầu dịu nhẹ mà không gây khô căng
- Hỗ trợ giảm dầu thừa và giúp da đầu thông thoáng
- Giúp tóc mềm mại, giảm xơ rối và gãy rụng
- Hỗ trợ nuôi dưỡng tóc chắc khỏe tự nhiên
- Mang lại cảm giác thư giãn với hương thơm thảo dược dễ chịu
🌱 Phù hợp với
- Da đầu nhạy cảm hoặc dễ kích ứng với dầu gội hóa học
- Tóc khô xơ, dễ gãy rụng
- Người yêu thích chăm sóc tóc bằng phương pháp thảo dược truyền thống
- Người muốn giảm phụ thuộc vào silicone và chất tẩy mạnh
✨ Điểm khác biệt

Không tạo cảm giác “bóng mượt tức thì” như dầu gội chứa silicone, Cao Gội Hoa Hồng tập trung vào cơ chế làm sạch và nuôi dưỡng thật sự — giúp tóc và da đầu dần trở về trạng thái khỏe tự nhiên, mềm nhẹ và ít phụ thuộc hơn vào hóa chất.","Cánh hoa hồng, bồ kết, bồ hòn, vỏ bưởi, hương nhu, hà thủ ô, quả chanh, sả chanh, củ gừng, cỏ mần trầu, nha đam, bạc hà, chè xanh, cốt dừa, me rừng.",,"🌿 Hướng dẫn sử dụng
- Làm ướt tóc và da đầu
- Lấy một lượng cao gội vừa đủ ra tay, hòa với chút nước để tạo độ loãng nhẹ
- Thoa đều lên tóc và da đầu
- Massage nhẹ nhàng bằng đầu ngón tay trong 2–5 phút để dưỡng chất và thảo dược làm sạch da đầu
- Xả sạch lại với nước

👉 Có thể gội 2 lần nếu tóc nhiều dầu hoặc sau khi vận động nhiều

✨ Để tăng hiệu quả chăm sóc tóc
- Kết hợp massage da đầu hoặc dùng lược gỗ/Gua Sha da đầu để tăng lưu thông
- Sau khi gội, nên để tóc khô tự nhiên hoặc sấy ở nhiệt độ thấp
- Có thể dùng thêm xịt dưỡng hoặc dầu dưỡng tóc ở phần ngọn tóc khô xơ",,,https://drive.google.com/drive/folders/13TJAGxRXTKmYBM24MM2NolEmmoOKfOsv?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc tóc,Tinh chất hoa bưởi ,,,,,138000,,,,100ml,,,,,,,,https://drive.google.com/drive/folders/18dMOQWe-Od1PgGYQC8_yFlMu7pWQjf6i?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Trà Hoa hồng ,,,,,189000,,,,60gr,,"Được làm từ những bông hoa hồng cổ hữu cơ thu hái tự nhiên, Trà Hoa Hồng mang hương thơm thanh nhẹ và vị trà dịu dàng đặc trưng của hoa tươi. Không chỉ là một thức uống thư giãn, trà hoa hồng còn là khoảng thời gian để cơ thể được thả lỏng và cân bằng sau những bộn bề mỗi ngày.

✨ Thành phần nổi bật
Hoa hồng cổ hữu cơ: Được trồng tự nhiên, không hóa chất, giữ trọn hương thơm và dưỡng chất nguyên bản của cánh hoa
💗 Công dụng nổi bật
Giúp thư giãn tinh thần và giảm cảm giác căng thẳng
Hỗ trợ thanh lọc cơ thể nhẹ nhàng
Giúp cơ thể cảm thấy dễ chịu và cân bằng hơn
Hỗ trợ làm đẹp da từ bên trong nhờ các chất chống oxy hóa tự nhiên
Mang lại cảm giác nhẹ nhàng với hương hoa tự nhiên thanh dịu
🌱 Phù hợp với
Người thường xuyên căng thẳng, cần thư giãn tinh thần
Người yêu thích lối sống chậm và chăm sóc cơ thể tự nhiên
Người muốn bổ sung trà thảo mộc nhẹ nhàng mỗi ngày
Người yêu hương hoa và các thức uống thiên nhiên",,Chứng nhận OCOP 3 sao ,"💧 Cách sử dụng Trà Hoa Hồng
🌸 Pha trà nóng
Cho 3–5 bông hoa hồng vào tách
Rót nước nóng khoảng 80–90°C
Ủ trà 3–5 phút để hoa nở và tiết hương thơm
Thưởng thức khi còn ấm

👉 Có thể thêm mật ong hoặc táo đỏ để tăng hương vị

❄️ Pha trà lạnh
Pha trà đậm hơn một chút rồi để nguội
Thêm đá hoặc trái cây tươi để dùng như trà thanh mát mỗi ngày
✨ Thời điểm phù hợp để sử dụng
Buổi sáng nhẹ nhàng để bắt đầu ngày mới
Buổi tối trước khi ngủ để thư giãn tinh thần
Khi cần một khoảng nghỉ giữa ngày làm việc
⚠️ Lưu ý
Không dùng nước quá sôi để giữ hương hoa tự nhiên
Bảo quản nơi khô ráo, tránh ẩm để giữ chất lượng hoa",,,https://drive.google.com/drive/folders/1NGKFUuDGydNN5Jrh2LW4SH37uJlqoZEH?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Trà Tía tô ,,có,,,99000,,,,20gr,,"Trà Tía Tô được làm từ những lá tía tô tự nhiên sấy khô, giữ lại hương thơm đặc trưng cùng tinh chất thảo dược vốn quen thuộc trong đời sống Á Đông. Với vị trà thanh nhẹ, hơi ấm và dễ uống, đây không chỉ là một thức uống thư giãn mà còn là cách để cơ thể được chăm sóc nhẹ nhàng mỗi ngày.

✨ Thành phần nổi bật
Lá tía tô tự nhiên: Giàu tinh dầu và chất chống oxy hóa thực vật, giúp cơ thể cảm thấy nhẹ nhàng và cân bằng hơn
💚 Công dụng nổi bật
- Hỗ trợ thanh lọc cơ thể tự nhiên
- Giúp cơ thể cảm thấy nhẹ nhàng, dễ chịu hơn
- Hỗ trợ giảm cảm giác đầy bụng, khó chịu sau ăn
- Giúp thư giãn và làm ấm cơ thể
- Hỗ trợ làm đẹp da từ bên trong nhờ các hoạt chất chống oxy hóa tự nhiên
🌱 Phù hợp với
- Người muốn duy trì thói quen uống trà thảo mộc lành tính
- Người thường xuyên ăn uống thất thường hoặc thức khuya
- Người yêu thích các loại trà thiên nhiên dễ uống mỗi ngày
- Người theo đuổi lối sống thanh lọc và chăm sóc cơ thể tự nhiên
✨ Điểm khác biệt

Không hương liệu tổng hợp, không vị ngọt gắt, Trà Tía Tô giữ nguyên hương thơm thảo mộc nhẹ đặc trưng — mang lại cảm giác mộc mạc, dễ chịu như một tách trà được hái từ khu vườn nhà.",,,"🌿 Cách pha trà nóng
- Cho khoảng 3–5g trà vào tách hoặc bình
- Rót 200–300ml nước nóng khoảng 80–90°C
- Ủ trà trong 3–5 phút để lá trà tiết hương và dưỡng chất
- Thưởng thức khi còn ấm

👉 Có thể châm thêm nước 1–2 lần đến khi trà nhạt vị

❄️ Cách pha trà lạnh
- Pha trà đậm hơn bình thường
- Để nguội và thêm đá
- Có thể kết hợp cùng mật ong, lát chanh hoặc táo đỏ để tăng hương vị tự nhiên
✨ Nên sử dụng khi nào?
- Buổi sáng để cơ thể cảm thấy nhẹ nhàng, dễ chịu hơn
- Sau bữa ăn để thư giãn và cân bằng cơ thể
- Khi cảm thấy mệt mỏi, cần một thức uống thanh mát và thư giãn
- Buổi tối nhẹ nhàng để thả lỏng tinh thần
🌱 Phù hợp với ai?
- Người muốn duy trì thói quen uống trà thảo mộc tự nhiên
- Người ăn uống thất thường hoặc thường xuyên thức khuya
- NGười bị sốt, cảm mạo, ho, phong hàn,...
⚠️ Lưu ý
- Không dùng nước quá sôi để giữ hương thơm tự nhiên của trà
- Nên sử dụng trong ngày để cảm nhận hương vị tươi ngon nhất
- Bảo quản nơi khô ráo, tránh ánh nắng trực tiếp và độ ẩm cao",,,https://drive.google.com/drive/folders/11Pl__5f8WZHdPu6Zv12evjDv9rFolty4?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Gấc lên men ,,,,,295000,,,,500ml,,"Gấc Lên Men là sự kết hợp giữa quả gấc chín giàu dưỡng chất và mật ong lên men tự nhiên, tạo nên một sản phẩm vừa thơm dịu, dễ sử dụng, vừa hỗ trợ chăm sóc cơ thể theo hướng lành tính từ bên trong. Quá trình lên men giúp nguyên liệu trở nên hài hòa hơn, dễ hấp thụ hơn và giữ được nguồn enzyme tự nhiên có lợi cho cơ thể.

✨ Thành phần nổi bật
- Gấc tự nhiên: Giàu beta-carotene, lycopene và chất chống oxy hóa thực vật
- Mật ong lên men: Giúp cân bằng vị, hỗ trợ tiêu hóa và tăng khả năng hấp thụ dưỡng chất tự nhiên
🧡 Công dụng nổi bật
- Hỗ trợ làm đẹp da từ bên trong
- Giúp cơ thể bổ sung chất chống oxy hóa tự nhiên
- Hỗ trợ cơ thể khỏe khoắn và tươi tắn hơn
- Giúp cơ thể hấp thụ dưỡng chất dễ dàng hơn nhờ quá trình lên men
- Giúp sáng mắt, tăng cường thị lực
- Giàu Lycopene & Beta-Carotene giúp làm đẹp da, chống lão hóa
- Hỗ trợ tim mạch, giảm cholesterol, ngừa đột quỵ
- Tăng cường miễn dịch, ngăn ngừa thiếu máu
- Giàu sắt, tốt cho mẹ bầu & người thiếu máu
🌱 Phù hợp với
- Người thiếu máu, thiếu sắt 
- Phụ nữ cần điều hòa nội tiết 


✨ Điểm khác biệt

Không chỉ là gấc ngâm mật ong thông thường, sản phẩm được lên men tự nhiên để tạo nên trạng thái dưỡng chất “dịu” hơn với cơ thể — vừa giữ được vị thơm đặc trưng của gấc, vừa mang đến cảm giác dễ chịu khi sử dụng hằng ngày.","Mật ong lên men, Gấc nếp ",,"💧 Cách sử dụng Gấc Lên Men
🍯 Dùng trực tiếp
Dùng 1–2 muỗng mỗi ngày
Có thể ăn trực tiếp hoặc dùng sau bữa ăn
🍵 Pha cùng nước ấm
Pha cùng nước ấm để tạo thức uống dễ dùng mỗi sáng
Có thể kết hợp với chanh hoặc trà thảo mộc
🥣 Kết hợp cùng thực phẩm
Dùng cùng sữa chua, yến mạch hoặc smoothie
Có thể dùng như một phần trong chế độ ăn lành mạnh hằng ngày
⚠️ Lưu ý
Không pha với nước quá nóng để giữ enzyme và dưỡng chất tự nhiên
Bảo quản nơi khô ráo hoặc ngăn mát tủ lạnh sau khi mở nắp",,,https://drive.google.com/drive/folders/13FMrUl8Dwgrhku5wVCp8qrbz_h6f0yJC?usp=drive_link
